customer_id,first_name,last_name,email,phone,address,city,country,created_at
1,Kelly,Davies,calvinnielsen@example.org,001-727-637-8817x9162,"PSC 5558, Box 0763, APO AE 42840",Robertsmouth,Hong Kong,2024-03-21
2,Kristen,Harris,vanessapham@example.net,001-949-866-9846x779,"PSC 3730, Box 2831, APO AE 19105",New Kimberlyfort,Somalia,2024-11-08
3,Ann,Price,davidsilva@example.net,001-638-568-5029x37604,"854 Knapp Well Apt. 135, Duranside, AR 71136",Andersonfort,Uruguay,2024-07-04
4,Robert,Fernandez,emcdaniel@example.com,+1-564-723-8726x163,"8713 Richmond Loaf Apt. 358, West Casey, FL 59380",Gilesview,French Guiana,2025-02-05
5,Sarah,Doyle,mbrooks@example.com,001-831-881-8298x78215,"1266 James Bridge Suite 599, South Jennifermouth, MD 72318",Port Steven,Rwanda,2024-10-10
6,Timothy,Fisher,joshuahampton@example.org,626.399.5847x38018,"883 Ayala Center, New Ryanshire, CT 01040",Port Michaelhaven,Christmas Island,2025-04-10
7,Donna,Hernandez,santiagojeffrey@example.com,681.448.0416,"28293 Jacobs Points Apt. 103, North Michael, SD 01328",Stephenstad,Cambodia,2024-06-25
8,Ashley,Klein,angela32@example.org,(612)517-7390,"21767 Simpson Ports, Lake Kristinberg, WY 79891",Port Caitlinbury,Bouvet Island (Bouvetoya),2023-12-29
9,Patrick,Stephens,gregorymartin@example.net,301.702.1865x9162,"906 Hall Point Suite 509, Crystalstad, PR 05638",East Ronald,Palestinian Territory,2024-05-23
10,Scott,Mathis,ricemichelle@example.org,001-551-470-7565x93544,"1457 Kirby Circles, New Robert, OK 80855",Port Miranda,Cote d'Ivoire,2025-02-10
11,Kevin,Ferguson,zcarpenter@example.net,347-216-6898,"7629 Geoffrey Mill, Lake Randyshire, MS 89050",North Lisamouth,Zambia,2024-06-12
12,Ricardo,Diaz,richardperez@example.net,4026746428,"68130 Austin Turnpike, Westside, MI 10834",Debbieview,French Guiana,2023-11-08
13,John,Rodriguez,frankalexander@example.net,984-454-0607x945,"8259 Sanders Highway Suite 833, Carpenterville, SC 10282",New Jesusview,Korea,2024-01-08
14,Jennifer,Rojas,daleschmidt@example.org,9749835335,"Unit 3115 Box 1695, DPO AP 17357",Andreshire,Djibouti,2025-04-13
15,Joseph,Mason,vsolis@example.org,8744281790,"2431 Rose Port Apt. 586, Weberborough, NE 84878",Port Davidchester,Uruguay,2025-06-03
16,Scott,Hernandez,sharonhoffman@example.net,9402057740,"50964 Jill Forge Suite 416, West Travis, VT 07612",South Matthewfurt,Brazil,2023-10-28
17,Manuel,Ross,ccarter@example.com,(747)404-0281x8986,"2675 Riley Mountain, Bakerbury, AK 47094",New Kristenberg,Russian Federation,2024-07-05
18,Tammy,Chambers,stephenssusan@example.com,679.569.1183x31190,"402 James Burgs, Howardhaven, PA 91153",Gregchester,Cambodia,2025-05-26
19,Darlene,Church,gatesjohn@example.com,3319157350,"950 Gibson Tunnel, North Amanda, CO 52849",Haleyport,Congo,2025-07-17
20,Dana,Walker,jenniferwilson@example.net,(274)937-4762,"USNS Coleman, FPO AE 25111",New Randy,Uruguay,2024-03-04
21,Andrea,Daniels,thomasmorgan@example.org,+1-284-871-7714x73256,"USCGC Barnes, FPO AE 01395",North Kimberlymouth,Romania,2024-10-06
22,James,Williams,amandalindsey@example.com,+1-452-312-9842,"Unit 1530 Box 5480, DPO AP 29978",Lake Andrewmouth,Guatemala,2025-01-08
23,Daniel,Welch,jorgevalencia@example.com,(443)827-6563x7180,"9273 Amy Lane, Gonzalezberg, HI 13038",Calebborough,Jordan,2025-01-07
24,Amy,Powell,mary84@example.net,822.328.1315x812,"63217 Cindy Oval, New Jamie, IA 00951",Taylorstad,Haiti,2023-11-04
25,Michael,Mitchell,briansherman@example.com,954-520-6130,"PSC 2279, Box 8467, APO AE 99046",Port Katherineview,Northern Mariana Islands,2024-07-25
26,Christina,Baker,bward@example.net,+1-450-744-0606x855,"4168 Andrews Circle, Kevinland, MS 94081",New Jonathonland,Afghanistan,2024-10-23
27,James,Lowery,swolfe@example.org,(820)293-9651x73929,"192 Eric Fields Apt. 472, North Charles, NE 94165",West Gabriela,Nepal,2024-04-21
28,Rebecca,Sellers,amanda13@example.com,4998534528,"PSC 2193, Box 9965, APO AA 31386",Laurentown,Sudan,2025-05-16
29,Jenna,Logan,annette57@example.net,001-769-845-1053x175,"0681 Jenkins Garden Apt. 764, New Elizabethchester, VT 41476",Harrisonshire,Turkmenistan,2025-02-15
30,Megan,Wright,amy00@example.net,+1-254-529-6915x1189,"132 Anthony Drive Suite 330, Lake Brittany, IA 80453",Christopherville,Mongolia,2024-10-16
31,Jake,Bishop,jermainehartman@example.com,(750)714-5853x0777,"70063 Bradford Tunnel, West Adrianton, GU 12813",Lake Stevenshire,Belarus,2023-11-14
32,Robert,Rosales,mariahcasey@example.com,001-322-210-7646x4325,"949 Beard Island Apt. 276, West Robertside, AZ 72826",Paigeland,Greenland,2024-05-04
33,Mark,Peck,lcosta@example.org,348.201.8050x1454,"6613 Caleb Prairie, Edwardville, GU 60192",Allenberg,Saint Vincent and the Grenadines,2023-12-22
34,Joel,Lowe,jeremynelson@example.net,607.269.7272,"637 Alvarado Canyon, Lake Stacey, HI 41769",West Michealport,Belarus,2025-08-17
35,Brian,Bright,vfox@example.net,(598)223-9705,"473 Emily Garden Apt. 623, Walkerhaven, GA 67052",Shellyville,Korea,2024-01-19
36,Scott,Harper,fturner@example.com,239-902-5635,"5243 Angelica Shores, Port Allison, FM 91149",New Ryanchester,South Georgia and the South Sandwich Islands,2024-01-24
37,Mario,Griffin,rachelortega@example.net,+1-904-912-0668,"8063 Jonathan Row, Port Michellehaven, OK 85872",East Charles,Botswana,2024-11-19
38,Lisa,Wilson,knapplarry@example.com,3824641089,"162 Mccall Square, Amandahaven, NJ 58672",North Edward,Turkey,2024-04-28
39,Oscar,Adkins,eric60@example.org,001-627-743-8326x013,"18308 Nguyen Knolls, East Victoria, PA 48766",Francisshire,Paraguay,2024-06-30
40,Christina,Baird,amyhenry@example.net,(680)997-9383,"17228 Fox Vista Suite 446, Bensonfort, IN 01983",Port Lori,Solomon Islands,2025-02-28
41,Rhonda,Mcdowell,patricia97@example.net,+1-866-585-3909x143,"022 Christopher Expressway, Norrisberg, MN 76405",South Michaelshire,Indonesia,2024-01-13
